num_fesible,num_optimize,,,,,,,,,,,,,,,,,,
407,401,,,,,,,,,,,,,,,,,,
file_name,lb,ub,num_var,num_clause,num_consistency_clause,num_PB_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_encoding_time,total_solving_time,optimized,timeout
data_set/j90.sm/j9013_8.sm,112,117,525533,1098991,39906,976864,0,1380,687162,410314,0,0,135,FALSE,0,1361.68825,0,FALSE,TRUE
data_set/j90.sm/j9013_9.sm,116,124,443978,934294,36500,813363,0,1467,606502,326190,0,0,135,FALSE,0,1291.8233,0,FALSE,TRUE
data_set/j90.sm/j9013_10.sm,112,120,459204,963649,36831,848858,0,1406,615031,347077,0,0,135,FALSE,0,1210.84035,0,FALSE,TRUE
data_set/j90.sm/j9014_1.sm,89,89,417168,849851,20195,789865,0,1104,496699,351918,0,0,130,TRUE,89,983.28031,187.64906,TRUE,FALSE
data_set/j90.sm/j9014_2.sm,79,79,375042,763773,17083,711263,0,1041,442723,319877,0,0,132,TRUE,79,895.13219,172.80267,TRUE,FALSE
data_set/j90.sm/j9014_3.sm,94,94,591416,1202719,24099,1129083,0,1064,690330,511192,0,0,133,TRUE,94,1516.59121,265.3899,TRUE,FALSE
data_set/j90.sm/j9014_4.sm,88,88,470203,959128,21687,892299,0,1077,559334,398582,0,0,135,TRUE,88,1124.60636,679.99677,TRUE,FALSE
data_set/j90.sm/j9014_5.sm,84,84,451415,915451,17915,859010,0,1084,524443,389791,0,1,132,TRUE,84,1075.98903,143.81294,TRUE,FALSE
data_set/j90.sm/j9014_6.sm,76,76,353333,718584,16253,669878,0,1046,416946,300461,0,0,131,TRUE,76,847.68302,13562.67075,TRUE,FALSE
data_set/j90.sm/j9014_7.sm,86,86,543797,1099755,19688,1037967,0,1123,620478,478022,0,0,132,TRUE,86,1308.99299,210.64195,TRUE,FALSE
data_set/j90.sm/j9014_8.sm,80,80,389330,791263,17116,739987,0,982,454286,335862,0,4,129,TRUE,80,940.78988,227.54437,TRUE,FALSE
data_set/j90.sm/j9014_9.sm,112,112,636921,1308391,34512,1205999,0,1516,772881,533859,0,0,135,TRUE,112,1620.67398,189.46325,TRUE,FALSE
data_set/j90.sm/j9014_10.sm,85,85,366122,746048,17172,693616,0,961,436392,308560,0,3,132,TRUE,85,866.69612,1076.88081,TRUE,FALSE
data_set/j90.sm/j9015_1.sm,76,76,504996,1017614,15200,967378,0,902,568317,448264,0,1,130,TRUE,76,1206.22114,328.09631,TRUE,FALSE
data_set/j90.sm/j9015_2.sm,71,71,410907,828759,14144,785312,0,1114,463137,364385,0,1,122,TRUE,71,989.28631,218.79753,TRUE,FALSE
data_set/j90.sm/j9015_3.sm,82,82,485842,983426,18069,927670,0,1012,556863,425416,0,3,132,TRUE,82,1152.13082,178.6206,TRUE,FALSE
data_set/j90.sm/j9015_4.sm,92,92,756119,1529575,25385,1452647,0,1158,854654,673630,0,0,133,TRUE,92,1944.53329,367.00617,TRUE,FALSE
data_set/j90.sm/j9015_5.sm,93,93,496029,1011407,22462,943490,0,1198,586168,423906,0,0,135,TRUE,93,1187.91915,253.71084,TRUE,FALSE
data_set/j90.sm/j9015_6.sm,61,61,373677,750051,11246,714881,0,915,416470,332534,0,17,115,TRUE,61,907.43781,256.84095,TRUE,FALSE
data_set/j90.sm/j9015_7.sm,82,82,459556,928774,17153,876252,0,1100,527222,400320,0,12,120,TRUE,82,1079.57071,208.89179,TRUE,FALSE
data_set/j90.sm/j9015_8.sm,82,82,375859,760499,15555,713129,0,1200,433704,325462,0,6,127,TRUE,82,901.20216,139.22595,TRUE,FALSE
data_set/j90.sm/j9015_9.sm,83,83,523641,1056784,18309,1001362,0,1028,591895,463726,0,4,131,TRUE,83,1261.19692,383.93377,TRUE,FALSE
data_set/j90.sm/j9015_10.sm,78,78,476101,965737,18749,907952,0,1102,548517,415984,0,0,134,TRUE,78,1131.77183,237.21778,TRUE,FALSE
data_set/j90.sm/j9016_1.sm,85,85,696991,1401284,20110,1341450,0,913,764511,635725,0,0,135,TRUE,85,1685.43687,345.52652,TRUE,FALSE
data_set/j90.sm/j9016_2.sm,71,71,644578,1295325,16827,1241203,0,972,707287,586933,0,0,133,TRUE,71,1545.54359,459.81398,TRUE,FALSE
data_set/j90.sm/j9016_3.sm,73,73,411385,827394,13697,785623,0,922,460059,366285,0,6,122,TRUE,73,997.46197,333.29803,TRUE,FALSE
data_set/j90.sm/j9016_4.sm,69,69,435311,871039,11353,834086,0,915,475935,394060,2,12,115,TRUE,69,1050.58368,466.37629,TRUE,FALSE
data_set/j90.sm/j9016_5.sm,71,71,458752,919982,12774,879310,0,841,503291,415715,0,15,120,TRUE,71,1124.15024,379.64883,TRUE,FALSE
data_set/j90.sm/j9016_6.sm,74,74,508760,1016354,12627,978509,0,945,542203,473072,0,4,130,TRUE,74,1265.65146,387.9432,TRUE,FALSE
data_set/j90.sm/j9016_7.sm,65,65,490728,983010,11807,942277,0,957,538141,443786,0,7,119,TRUE,65,1191.96785,216.7375,TRUE,FALSE
data_set/j90.sm/j9016_8.sm,71,71,584053,1170279,14789,1123930,0,909,633963,535272,1,0,134,TRUE,71,1416.3024,427.67526,TRUE,FALSE
data_set/j90.sm/j9016_9.sm,66,66,342729,686207,11298,653436,0,951,376487,308634,0,25,110,TRUE,66,837.39999,222.34018,TRUE,FALSE
data_set/j90.sm/j9016_10.sm,71,71,564288,1135723,15761,1082885,0,1080,627647,506861,0,2,133,TRUE,71,1354.78019,383.1806,TRUE,FALSE
data_set/j90.sm/j9017_1.sm,92,92,38274,108066,22908,38056,0,1127,82219,24557,0,0,163,TRUE,92,183.41475,49.40467,TRUE,FALSE
data_set/j90.sm/j9017_2.sm,100,100,45342,129228,25780,44725,0,1692,98451,28922,0,0,163,TRUE,100,218.47071,447.33001,TRUE,FALSE
data_set/j90.sm/j9017_3.sm,89,89,36738,101221,20341,38133,0,1069,76006,23983,1,0,162,TRUE,89,162.08316,31.4742,TRUE,FALSE
